ダウンロードした時刻：2021/02/03 17:44:52

,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/6/22,22.4,8,1,26.1,8,1,19.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/23,21.7,8,1,24.8,8,1,19.4,8,1,9.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/24,21.9,8,1,25.3,8,1,18.8,8,1,12.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/25,24.2,8,1,28.7,8,1,20.8,8,1,6.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/26,22.5,8,1,24.1,8,1,21.4,8,1,91.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/27,23.4,8,1,25.9,8,1,21.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/28,25.1,8,1,29.3,8,1,22.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/29,26.1,8,1,29.9,8,1,22.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/30,25.4,8,1,29.8,8,1,22.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/7/1,24.3,8,1,26.9,8,1,22.0,8,1,2.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/7/2,27.8,8,1,31.6,8,1,24.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/7/3,27.5,8,1,31.0,8,1,25.2,8,1,23.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/7/4,27.4,8,1,29.7,8,1,25.3,8,1,21.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/7/5,29.6,8,1,32.9,8,1,26.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/7/6,26.6,8,1,29.1,8,1,23.5,8,1,74.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/7/7,29.0,8,1,33.6,8,1,26.9,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/7/8,29.6,8,1,33.6,8,1,26.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
